trial_num,block_num,reward_type,reward_trial,probability,position,ccw,hrz
660,2,1,1,1,0,0,0
661,2,1,1,3,1,0,0
662,2,2,1,2,0,1,0
663,2,2,1,2,1,1,0
664,2,1,1,3,1,0,0
665,2,4,9,3,0,1,1
666,2,1,9,2,1,0,0
667,2,4,0,1,0,1,1
668,2,4,9,1,0,1,1
669,2,2,1,3,1,1,0
670,2,1,1,1,0,0,0
671,2,3,9,2,1,0,1
672,2,2,1,2,1,1,0
673,2,3,0,1,0,0,1
674,2,1,9,3,0,0,0
675,2,1,1,2,1,0,0
676,2,1,1,2,1,0,0
677,2,2,1,1,1,1,0
678,2,4,0,2,1,1,1
679,2,3,0,3,0,0,1
680,2,1,1,3,0,0,0
681,2,2,1,3,0,1,0
682,2,2,1,3,1,1,0
683,2,2,9,1,0,1,0
684,2,4,0,1,0,1,1
685,2,4,9,2,1,1,1
686,2,2,9,3,1,1,0
687,2,4,0,1,0,1,1
688,2,3,0,1,0,0,1
689,2,1,1,1,1,0,0
690,2,4,0,3,1,1,1
691,2,4,0,3,0,1,1
692,2,2,1,1,0,1,0
693,2,4,0,3,1,1,1
694,2,3,0,3,0,0,1
695,2,1,1,3,1,0,0
696,2,2,9,3,0,1,0
697,2,2,1,1,0,1,0
698,2,2,1,3,0,1,0
699,2,1,1,3,1,0,0
700,2,2,1,3,0,1,0
701,2,4,0,2,1,1,1
702,2,1,1,2,1,0,0
703,2,4,9,3,1,1,1
704,2,2,9,3,0,1,0
705,2,3,0,1,0,0,1
706,2,1,1,1,0,0,0
707,2,1,1,1,0,0,0
708,2,4,0,3,0,1,1
709,2,1,1,1,0,0,0
710,2,1,1,1,0,0,0
711,2,3,0,3,1,0,1
712,2,4,9,2,0,1,1
713,2,3,0,3,0,0,1
714,2,4,0,2,1,1,1
715,2,4,0,1,0,1,1
716,2,4,0,1,0,1,1
717,2,4,0,2,1,1,1
718,2,2,1,3,1,1,0
719,2,2,1,3,0,1,0
720,2,3,0,2,1,0,1
